number_of_episodes,weight_history,noise_history,number_of_steps,perf_tracker
1,"[[0.00011688 0.00168018]
 [0.00269261 0.00179813]
 [0.00149742 0.00149159]
 [0.00077068 0.00349401]]",0.005,93,93.0
2,"[[0.0009365  0.00168645]
 [0.003226   0.00276318]
 [0.00211815 0.00303488]
 [0.00232634 0.00538324]]",0.0025,99,99.0
3,"[[0.00108561 0.0028252 ]
 [0.0034204  0.00281228]
 [0.00274364 0.0032052 ]
 [0.00287417 0.00541798]]",0.00125,145,145.0
4,"[[0.00135152 0.00344965]
 [0.00367815 0.00321107]
 [0.00297516 0.00329128]
 [0.0031588  0.0059873 ]]",0.000625,153,153.0
5,"[[0.0019103  0.00368982]
 [0.00364771 0.00304536]
 [0.00396985 0.00401655]
 [0.00310403 0.00604572]]",0.00125,204,105.0
6,"[[0.00217036 0.0042588 ]
 [0.00400206 0.00306153]
 [0.00447371 0.00436896]
 [0.00319434 0.00650716]]",0.000625,210,210.0
7,"[[0.00233818 0.00429698]
 [0.0041206  0.00307733]
 [0.00464505 0.0044266 ]
 [0.00335405 0.00677076]]",0.0003125,221,221.0
8,"[[0.00236232 0.00434792]
 [0.00416354 0.00308373]
 [0.00465925 0.00448284]
 [0.0034073  0.00688029]]",0.00015625,235,235.0
9,"[[0.00259868 0.00437615]
 [0.00442552 0.00326636]
 [0.00486516 0.004574  ]
 [0.00359571 0.0068658 ]]",0.0003125,258,105.0
10,"[[0.00248541 0.00479036]
 [0.00427026 0.00313289]
 [0.0047697  0.00459447]
 [0.00376284 0.00721566]]",0.000625,258,165.0
11,"[[0.00271293 0.00497351]
 [0.0044147  0.00330634]
 [0.00488066 0.00461024]
 [0.0038885  0.00722836]]",0.0003125,266,266.0
12,"[[0.00276365 0.00498653]
 [0.00449307 0.00343318]
 [0.00501846 0.00473949]
 [0.00391658 0.00731245]]",0.00015625,273,273.0
13,"[[0.002794   0.00505511]
 [0.00454132 0.00346529]
 [0.00505501 0.00482057]
 [0.00401526 0.0073754 ]]",0.0001,275,275.0
14,"[[0.00276786 0.00512199]
 [0.00468404 0.00351973]
 [0.00507842 0.00492464]
 [0.00404829 0.00741899]]",0.0002,315,170.0
15,"[[0.00286205 0.0053023 ]
 [0.00468334 0.00344256]
 [0.00530121 0.00484552]
 [0.00427257 0.00750547]]",0.0004,339,118.0
16,"[[0.00308915 0.00528681]
 [0.00505003 0.00412038]
 [0.00502428 0.00503432]
 [0.00450992 0.00782926]]",0.0008,341,131.0
17,"[[0.00376159 0.00643421]
 [0.0057165  0.00478818]
 [0.00536671 0.00566631]
 [0.00475796 0.00844729]]",0.0016,350,146.0
18,"[[0.00330615 0.00591302]
 [0.00605225 0.00383822]
 [0.00503174 0.0076767 ]
 [0.00465457 0.0084275 ]]",0.0032,376,118.0
19,"[[0.00710441 0.00710129]
 [0.00932729 0.00391379]
 [0.00726539 0.006012  ]
 [0.00636694 0.01248653]]",0.0064,380,114.0
