,number_of_episodes,weight_history,noise_history,number_of_steps,perf_tracker
0,1,"[[5.36609324e-05 4.80554648e-03]
 [9.03143194e-04 1.13930196e-03]
 [1.65591939e-03 3.54593408e-03]
 [1.32019513e-03 3.77997550e-03]]",0.005,9,9.0
1,2,"[[0.00096856 0.00724206]
 [0.00243946 0.00136903]
 [0.00170108 0.00458605]
 [0.00293723 0.00602741]]",0.0025,9,9.0
2,3,"[[0.00161546 0.0083715 ]
 [0.00295097 0.00191412]
 [0.00234827 0.00515202]
 [0.00339814 0.00702289]]",0.00125,9,9.0
3,4,"[[0.00188918 0.0087375 ]
 [0.0034282  0.00252554]
 [0.0024867  0.00546966]
 [0.00365128 0.00727293]]",0.000625,9,9.0
4,5,"[[0.0020572  0.00887442]
 [0.00354108 0.00264433]
 [0.00259086 0.00550232]
 [0.00365591 0.00740843]]",0.0003125,10,10.0
5,6,"[[0.00213167 0.00898342]
 [0.0036804  0.00269756]
 [0.00260702 0.00554286]
 [0.0037768  0.0074683 ]]",0.00015625,10,10.0
6,7,"[[0.00220868 0.0090737 ]
 [0.00372038 0.00271526]
 [0.00261521 0.00564267]
 [0.00386461 0.00756212]]",0.0001,93,84.0
7,8,"[[0.00227594 0.00913351]
 [0.00374601 0.00280744]
 [0.00268352 0.00567892]
 [0.00390105 0.00763122]]",0.0001,95,86.0
8,9,"[[0.00236151 0.0092327 ]
 [0.00384497 0.00287295]
 [0.00270735 0.00575838]
 [0.00398858 0.00771298]]",0.0001,99,90.0
9,10,"[[0.00238726 0.0093222 ]
 [0.00387502 0.00296828]
 [0.0027102  0.00581273]
 [0.00406556 0.00774745]]",0.0001,101,91.0
10,11,"[[0.00243747 0.00940383]
 [0.00391509 0.00299026]
 [0.00277072 0.00589551]
 [0.00408392 0.00776305]]",0.0001,106,97.0
11,12,"[[0.00245751 0.00944184]
 [0.00399895 0.00299856]
 [0.00279351 0.00589818]
 [0.00413013 0.00782522]]",0.0001,107,97.0
12,13,"[[0.00259652 0.00945323]
 [0.00397463 0.0030907 ]
 [0.00283474 0.005938  ]
 [0.0040994  0.0078231 ]]",0.0002,171,64.0
13,14,"[[0.0026964  0.00968673]
 [0.00418601 0.00300855]
 [0.00299757 0.00621531]
 [0.00442705 0.00804848]]",0.0004,171,70.0
14,15,"[[0.00291697 0.00966974]
 [0.00440262 0.00322268]
 [0.00325501 0.00644887]
 [0.00429383 0.00801671]]",0.0008,179,84.0
15,16,"[[0.00292531 0.01034195]
 [0.00406056 0.00416431]
 [0.0031885  0.00619317]
 [0.00557402 0.00874012]]",0.0016,180,81.0
16,17,"[[0.00347004 0.01235663]
 [0.00693531 0.00301335]
 [0.00459742 0.00891085]
 [0.00443356 0.01040125]]",0.0032,183,77.0
17,18,"[[0.00395812 0.01328774]
 [0.00836956 0.00433912]
 [0.00480078 0.00944262]
 [0.00507434 0.01080029]]",0.0016,192,99.0
18,19,"[[0.00635009 0.0133968 ]
 [0.00888271 0.00307942]
 [0.00696418 0.01165608]
 [0.00636166 0.01102847]]",0.0032,266,95.0
19,20,"[[0.00569909 0.01681638]
 [0.00697151 0.00869873]
 [0.00740384 0.01199008]
 [0.00830156 0.01155172]]",0.0064,273,81.0
20,21,"[[0.00587375 0.01864191]
 [0.0071788  0.01120632]
 [0.01017872 0.01230655]
 [0.00991427 0.01206315]]",0.0032,276,105.0
21,22,"[[0.0109111  0.02026568]
 [0.00987231 0.00897336]
 [0.00936712 0.01545585]
 [0.00846339 0.01659843]]",0.0064,278,95.0
22,23,"[[0.01391282 0.0207889 ]
 [0.01093691 0.01036982]
 [0.00999497 0.01568261]
 [0.01124361 0.01793449]]",0.0032,289,109.0
23,24,"[[0.01397496 0.02127699]
 [0.01098991 0.01124345]
 [0.01078185 0.01598403]
 [0.01157996 0.01840662]]",0.0016,313,134.0
24,25,"[[0.01545404 0.0232312 ]
 [0.01180535 0.0126756 ]
 [0.0121006  0.01739315]
 [0.0115488  0.01816862]]",0.0032,353,77.0
25,26,"[[0.01655667 0.02236851]
 [0.01425781 0.01517927]
 [0.01339306 0.02060987]
 [0.0143709  0.02266598]]",0.0064,354,88.0
26,27,"[[0.02275885 0.03241051]
 [0.02028955 0.02209128]
 [0.01416318 0.0161003 ]
 [0.014035   0.02379022]]",0.0128,367,94.0
27,28,"[[0.01525583 0.02422995]
 [0.01120212 0.02888322]
 [0.03399757 0.04029417]
 [0.0236785  0.03359621]]",0.0256,414,125.0
28,29,"[[0.0229059  0.03064788]
 [0.0223802  0.03197742]
 [0.03612218 0.04458671]
 [0.03175229 0.04241948]]",0.0128,417,139.0
29,30,"[[0.03205018 0.02844167]
 [0.02256203 0.02988448]
 [0.03425292 0.04524226]
 [0.02389715 0.04889592]]",0.0256,426,72.0
30,31,"[[0.03714348 0.03360662]
 [0.02691317 0.03290296]
 [0.04539638 0.04864574]
 [0.02441037 0.05840498]]",0.0128,688,321.0
31,32,"[[0.04857063 0.03219316]
 [0.02674963 0.055309  ]
 [0.05500438 0.06209039]
 [0.02784687 0.06571835]]",0.0256,695,281.0
32,33,"[[0.05953223 0.04141267]
 [0.03218893 0.06110714]
 [0.06263494 0.06843268]
 [0.03378092 0.07348618]]",0.0128,747,434.0
33,34,"[[0.06498188 0.03397884]
 [0.0338867  0.071364  ]
 [0.07587686 0.07723189]
 [0.0315483  0.08042851]]",0.0256,766,349.0
34,35,"[[0.09442344 0.03789293]
 [0.0607917  0.07798816]
 [0.06338311 0.07644084]
 [0.07798352 0.06859576]]",0.0512,776,423.0
35,36,"[[0.05171685 0.11811994]
 [0.12318137 0.08020451]
 [0.12209287 0.08388185]
 [0.12232124 0.14537543]]",0.1024,785,97.0
36,37,"[[0.16663389 0.2005375 ]
 [0.19127511 0.06993745]
 [0.234794   0.12587995]
 [0.06170413 0.20239313]]",0.2048,785,38.0
37,38,"[[0.20016242 0.13953901]
 [0.24127762 0.23650868]
 [0.06243446 0.42619434]
 [0.23547449 0.32505986]]",0.4096,785,90.0
38,39,"[[0.6906141  0.51582503]
 [0.54801986 0.25653614]
 [0.38774449 0.8026124 ]
 [0.57978335 0.2889584 ]]",0.8192,785,359.0
39,40,"[[0.81758323 0.69102946]
 [0.8149791  0.4554074 ]
 [1.63677422 1.67795583]
 [0.20838813 0.28851433]]",1.6384,786,20.0
40,41,"[[0.13910768 0.17679598]
 [0.95751422 0.60728711]
 [0.96560426 0.44397505]
 [1.48720884 1.04933683]]",2.0,786,10.0
41,42,"[[1.60349594 0.06559373]
 [2.01238455 1.85155279]
 [1.08750718 0.30508506]
 [0.40002699 1.16218915]]",2.0,794,9.0
42,43,"[[0.17752621 0.31849513]
 [0.93202549 1.36760858]
 [0.67025416 1.80562393]
 [0.16811819 0.9353571 ]]",2.0,794,9.0
43,44,"[[1.29381112 1.05542603]
 [1.26550325 1.47661759]
 [1.49218058 1.25411003]
 [1.18521458 1.69555934]]",2.0,794,9.0
44,45,"[[1.31284541 0.31549903]
 [1.94978244 0.82600344]
 [0.52610458 1.42773617]
 [0.54904419 0.73104214]]",2.0,794,9.0
