Observation space: Box([-4.8000002e+00 -3.4028235e+38 -4.1887903e-01 -3.4028235e+38], [4.8000002e+00 3.4028235e+38 4.1887903e-01 3.4028235e+38], (4,), float32)
Action space: Discrete(2)
Trial: 1: Attempt: 1, Performance: 9.0, Best Performance:-inf, Consecutive 500's:0, Noise: 0.01
Trial: 1: Attempt: 2, Performance: 10.0, Best Performance:9.0, Consecutive 500's:0, Noise: 0.006666666666666667
Trial: 1: Attempt: 3, Performance: 9.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.0044444444444444444
/Users/ryanrodriguez/PycharmProjects/PPO/venv/lib/python3.8/site-packages/gym/core.py:329: DeprecationWarning: [33mWARN: Initializing wrapper in old step API which returns one bool instead of two. It is recommended to set `new_step_api=True` to use new step API. This will be the default behaviour in future.
  deprecation(
/Users/ryanrodriguez/PycharmProjects/PPO/venv/lib/python3.8/site-packages/gym/wrappers/step_api_compatibility.py:39: DeprecationWarning: [33mWARN: Initializing environment in old step API which returns one bool instead of two. It is recommended to set `new_step_api=True` to use new step API. This will be the default behaviour in future.
  deprecation(
Trial: 1: Attempt: 4, Performance: 9.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.006666666666666666
Trial: 1: Attempt: 5, Performance: 10.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.009999999999999998
Trial: 1: Attempt: 6, Performance: 9.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.006666666666666665
Trial: 1: Attempt: 7, Performance: 10.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.009999999999999998
Trial: 1: Attempt: 8, Performance: 10.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.006666666666666665
Trial: 1: Attempt: 9, Performance: 9.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.004444444444444444
Trial: 1: Attempt: 10, Performance: 10.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.006666666666666665
Trial: 1: Attempt: 11, Performance: 10.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.004444444444444444
Trial: 1: Attempt: 12, Performance: 9.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.0029629629629629624
Trial: 1: Attempt: 13, Performance: 10.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.004444444444444444
Trial: 1: Attempt: 14, Performance: 9.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.0029629629629629624
Trial: 1: Attempt: 15, Performance: 10.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.004444444444444444
Trial: 1: Attempt: 16, Performance: 10.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.0029629629629629624
Trial: 1: Attempt: 17, Performance: 8.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.0019753086419753083
Trial: 1: Attempt: 18, Performance: 10.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.0029629629629629624
Trial: 1: Attempt: 19, Performance: 10.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.0019753086419753083
Trial: 1: Attempt: 20, Performance: 10.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.0013168724279835388
Trial: 1: Attempt: 21, Performance: 10.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.0008779149519890258
Trial: 1: Attempt: 22, Performance: 9.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.0005852766346593506
Trial: 1: Attempt: 23, Performance: 9.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.0008779149519890258
Trial: 1: Attempt: 24, Performance: 10.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.0013168724279835388
Trial: 1: Attempt: 25, Performance: 9.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.0008779149519890258
Trial: 1: Attempt: 26, Performance: 9.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.0013168724279835388
Trial: 1: Attempt: 27, Performance: 9.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.0019753086419753083
Trial: 1: Attempt: 28, Performance: 9.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.0029629629629629624
Trial: 1: Attempt: 29, Performance: 9.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.004444444444444444
Trial: 1: Attempt: 30, Performance: 10.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.006666666666666665
Trial: 1: Attempt: 31, Performance: 10.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.004444444444444444
Trial: 1: Attempt: 32, Performance: 10.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.0029629629629629624
Trial: 1: Attempt: 33, Performance: 10.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.0019753086419753083
Trial: 1: Attempt: 34, Performance: 10.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.0013168724279835388
Trial: 1: Attempt: 35, Performance: 10.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.0008779149519890258
Trial: 1: Attempt: 36, Performance: 10.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.0005852766346593506
