/Users/ryanrodriguez/PycharmProjects/PPO/venv/lib/python3.8/site-packages/gym/core.py:329: DeprecationWarning: [33mWARN: Initializing wrapper in old step API which returns one bool instead of two. It is recommended to set `new_step_api=True` to use new step API. This will be the default behaviour in future.
  deprecation(
/Users/ryanrodriguez/PycharmProjects/PPO/venv/lib/python3.8/site-packages/gym/wrappers/step_api_compatibility.py:39: DeprecationWarning: [33mWARN: Initializing environment in old step API which returns one bool instead of two. It is recommended to set `new_step_api=True` to use new step API. This will be the default behaviour in future.
  deprecation(
Observation space: Box([-4.8000002e+00 -3.4028235e+38 -4.1887903e-01 -3.4028235e+38], [4.8000002e+00 3.4028235e+38 4.1887903e-01 3.4028235e+38], (4,), float32)
Action space: Discrete(2)
Trial: 1: Attempt: 1, Performance: 10.0, Best Performance:-inf, Consecutive 500's:0, Noise: 0.01
Trial: 1: Attempt: 2, Performance: 21.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.006666666666666667
Trial: 1: Attempt: 3, Performance: 500.0, Best Performance:21.0, Consecutive 500's:1, Noise: 0.0044444444444444444
Trial: 1: Attempt: 4, Performance: 500.0, Best Performance:500.0, Consecutive 500's:2, Noise: 0.0007407407407407407
Trial: 1: Attempt: 5, Performance: 500.0, Best Performance:500.0, Consecutive 500's:3, Noise: 0.0001234567901234568
Trial: 2: Attempt: 1, Performance: 10.0, Best Performance:-inf, Consecutive 500's:0, Noise: 0.01
Trial: 2: Attempt: 2, Performance: 10.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.006666666666666667
Trial: 2: Attempt: 3, Performance: 10.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.0044444444444444444
Trial: 2: Attempt: 4, Performance: 10.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.002962962962962963
Trial: 2: Attempt: 5, Performance: 10.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.0019753086419753087
Trial: 2: Attempt: 6, Performance: 10.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.0013168724279835392
Trial: 2: Attempt: 7, Performance: 10.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.0008779149519890262
Trial: 2: Attempt: 8, Performance: 10.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.0005852766346593508
Trial: 2: Attempt: 9, Performance: 8.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.0003901844231062339
Trial: 2: Attempt: 10, Performance: 9.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.0005852766346593508
Trial: 2: Attempt: 11, Performance: 9.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.0008779149519890263
Trial: 2: Attempt: 12, Performance: 9.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.0013168724279835394
Trial: 2: Attempt: 13, Performance: 10.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.001975308641975309
Trial: 2: Attempt: 14, Performance: 10.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.0013168724279835394
Trial: 2: Attempt: 15, Performance: 10.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.0008779149519890263
Trial: 2: Attempt: 16, Performance: 9.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.0005852766346593508
Trial: 2: Attempt: 17, Performance: 10.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.0008779149519890263
Trial: 2: Attempt: 18, Performance: 10.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.0005852766346593508
Trial: 2: Attempt: 19, Performance: 10.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.0003901844231062339
Trial: 2: Attempt: 20, Performance: 11.0, Best Performance:10.0, Consecutive 500's:0, Noise: 0.00026012294873748923
Trial: 2: Attempt: 21, Performance: 10.0, Best Performance:11.0, Consecutive 500's:0, Noise: 0.00017341529915832616
Trial: 2: Attempt: 22, Performance: 10.0, Best Performance:11.0, Consecutive 500's:0, Noise: 0.00026012294873748923
Trial: 2: Attempt: 23, Performance: 10.0, Best Performance:11.0, Consecutive 500's:0, Noise: 0.0003901844231062339
Trial: 2: Attempt: 24, Performance: 10.0, Best Performance:11.0, Consecutive 500's:0, Noise: 0.0005852766346593508
Trial: 2: Attempt: 25, Performance: 9.0, Best Performance:11.0, Consecutive 500's:0, Noise: 0.0008779149519890263
Trial: 2: Attempt: 26, Performance: 10.0, Best Performance:11.0, Consecutive 500's:0, Noise: 0.0013168724279835394
Trial: 2: Attempt: 27, Performance: 10.0, Best Performance:11.0, Consecutive 500's:0, Noise: 0.001975308641975309
Trial: 2: Attempt: 28, Performance: 11.0, Best Performance:11.0, Consecutive 500's:0, Noise: 0.0029629629629629637
Trial: 2: Attempt: 29, Performance: 10.0, Best Performance:11.0, Consecutive 500's:0, Noise: 0.001975308641975309
Trial: 2: Attempt: 30, Performance: 10.0, Best Performance:11.0, Consecutive 500's:0, Noise: 0.0029629629629629637
Trial: 2: Attempt: 31, Performance: 11.0, Best Performance:11.0, Consecutive 500's:0, Noise: 0.004444444444444445
Trial: 2: Attempt: 32, Performance: 9.0, Best Performance:11.0, Consecutive 500's:0, Noise: 0.0029629629629629637
Trial: 2: Attempt: 33, Performance: 10.0, Best Performance:11.0, Consecutive 500's:0, Noise: 0.004444444444444445
Trial: 2: Attempt: 34, Performance: 10.0, Best Performance:11.0, Consecutive 500's:0, Noise: 0.006666666666666668
Trial: 2: Attempt: 35, Performance: 9.0, Best Performance:11.0, Consecutive 500's:0, Noise: 0.010000000000000002
Trial: 2: Attempt: 36, Performance: 227.0, Best Performance:11.0, Consecutive 500's:0, Noise: 0.015000000000000003
Trial: 2: Attempt: 37, Performance: 26.0, Best Performance:227.0, Consecutive 500's:0, Noise: 0.010000000000000002
Trial: 2: Attempt: 38, Performance: 10.0, Best Performance:227.0, Consecutive 500's:0, Noise: 0.015000000000000003
Trial: 2: Attempt: 39, Performance: 10.0, Best Performance:227.0, Consecutive 500's:0, Noise: 0.022500000000000006
Trial: 2: Attempt: 40, Performance: 15.0, Best Performance:227.0, Consecutive 500's:0, Noise: 0.03375000000000001
Trial: 2: Attempt: 41, Performance: 162.0, Best Performance:227.0, Consecutive 500's:0, Noise: 0.05062500000000002
Trial: 2: Attempt: 42, Performance: 10.0, Best Performance:227.0, Consecutive 500's:0, Noise: 0.07593750000000002
Trial: 2: Attempt: 43, Performance: 15.0, Best Performance:227.0, Consecutive 500's:0, Noise: 0.11390625000000003
Trial: 2: Attempt: 44, Performance: 10.0, Best Performance:227.0, Consecutive 500's:0, Noise: 0.17085937500000004
Trial: 2: Attempt: 45, Performance: 22.0, Best Performance:227.0, Consecutive 500's:0, Noise: 0.25628906250000005
Trial: 2: Attempt: 46, Performance: 147.0, Best Performance:227.0, Consecutive 500's:0, Noise: 0.3844335937500001
Trial: 2: Attempt: 47, Performance: 24.0, Best Performance:227.0, Consecutive 500's:0, Noise: 0.5766503906250001
Trial: 2: Attempt: 48, Performance: 98.0, Best Performance:227.0, Consecutive 500's:0, Noise: 0.8649755859375001
Trial: 2: Attempt: 49, Performance: 8.0, Best Performance:227.0, Consecutive 500's:0, Noise: 1.2974633789062502
Trial: 2: Attempt: 50, Performance: 9.0, Best Performance:227.0, Consecutive 500's:0, Noise: 1.9461950683593754
Trial: 2: Attempt: 51, Performance: 500.0, Best Performance:227.0, Consecutive 500's:1, Noise: 2
Trial: 2: Attempt: 52, Performance: 292.0, Best Performance:500.0, Consecutive 500's:0, Noise: 0.3333333333333333
Trial: 2: Attempt: 53, Performance: 500.0, Best Performance:500.0, Consecutive 500's:1, Noise: 0.3333333333333333
Trial: 2: Attempt: 54, Performance: 500.0, Best Performance:500.0, Consecutive 500's:2, Noise: 0.05555555555555555
Trial: 2: Attempt: 55, Performance: 157.0, Best Performance:500.0, Consecutive 500's:0, Noise: 0.009259259259259259
Trial: 2: Attempt: 56, Performance: 500.0, Best Performance:500.0, Consecutive 500's:1, Noise: 0.009259259259259259
Trial: 2: Attempt: 57, Performance: 500.0, Best Performance:500.0, Consecutive 500's:2, Noise: 0.0015432098765432098
Trial: 2: Attempt: 58, Performance: 265.0, Best Performance:500.0, Consecutive 500's:0, Noise: 0.00025720164609053495
